Date;Open;High;Low;Close;Adj Close;Volume
Nov 1, 2025;3,976.20;4,228.70;3,927.40;4,218.30;4,218.30;194,787
Oct 1, 2025;3,863.50;4,358.00;3,823.70;3,982.20;3,982.20;42,621
Sep 1, 2025;3,485.70;3,865.50;3,485.70;3,840.80;3,840.80;38,627
Aug 1, 2025;3,286.20;3,477.00;3,281.00;3,473.70;3,473.70;36,288
Jul 1, 2025;3,310.10;3,441.00;3,263.90;3,293.20;3,293.20;142,774
May 1, 2025;3,272.90;3,430.90;3,125.00;3,288.90;3,288.90;172,644
Apr 1, 2025;3,129.70;3,485.60;2,949.70;3,305.00;3,305.00;38,612
Mar 1, 2025;2,872.70;3,132.50;2,863.40;3,122.80;3,122.80;168,341
Feb 1, 2025;2,818.20;2,957.90;2,780.90;2,836.80;2,836.80;46,632
Jan 1, 2025;2,633.00;2,838.00;2,617.30;2,812.50;2,812.50;192,98
Nov 1, 2024;2,745.50;2,756.00;2,554.20;2,657.00;2,657.00;307,97
Oct 1, 2024;2,631.40;2,789.00;2,602.50;2,738.30;2,738.30;4,495
Aug 1, 2024;2,446.70;2,527.30;2,367.40;2,493.80;2,493.80;12,103
Jul 1, 2024;2,323.80;2,473.10;2,321.70;2,426.50;2,426.50;155,434
Jun 1, 2024;2,322.60;2,385.10;2,285.40;2,327.70;2,327.70;7,958
May 1, 2024;2,287.70;2,435.80;2,277.60;2,322.90;2,322.90;154,217
Apr 1, 2024;2,235.70;2,429.00;2,230.00;2,291.40;2,291.40;8,117
Mar 1, 2024;2,043.10;2,234.10;2,041.80;2,217.40;2,217.40;241,903
Feb 1, 2024;2,040.20;2,064.50;1,984.80;2,045.70;2,045.70;10,472
Jan 1, 2024;2,063.50;2,073.70;2,002.60;2,048.40;2,048.40;184,5
Dec 1, 2023;2,038.30;2,130.20;1,975.00;2,062.40;2,062.40;8,723
Nov 1, 2023;1,990.50;2,052.10;1,932.60;2,038.10;2,038.10;199,965
Sep 1, 2023;1,950.00;1,950.00;1,846.00;1,848.10;1,848.10;19,996
Aug 1, 2023;1,964.90;1,965.40;1,884.00;1,938.20;1,938.20;9,086
Jul 1, 2023;1,917.90;1,978.40;1,903.20;1,970.50;1,970.50;220,474
Jun 1, 2023;1,963.20;1,983.00;1,892.50;1,921.10;1,921.10;6,383
May 1, 2023;1,980.10;2,072.00;1,931.00;1,963.90;1,963.90;215,367
Apr 1, 2023;1,968.10;2,048.60;1,950.00;1,990.10;1,990.10;7,282
Mar 1, 2023;1,827.10;2,003.90;1,811.50;1,969.00;1,969.00;104,261
Feb 1, 2023;1,927.20;1,959.10;1,808.10;1,828.90;1,828.90;10,398
Dec 1, 2022;1,768.70;1,826.30;1,764.30;1,819.70;1,819.70;9,347
Nov 1, 2022;1,630.80;1,778.90;1,615.10;1,746.00;1,746.00;161,813
Oct 1, 2022;1,667.20;1,728.00;1,622.80;1,635.90;1,635.90;8,817
Sep 1, 2022;1,707.90;1,728.10;1,620.40;1,662.40;1,662.40;41,586
Aug 1, 2022;1,763.90;1,804.90;1,708.50;1,712.80;1,712.80;11,161
Jul 1, 2022;1,795.50;1,806.10;1,679.80;1,762.90;1,762.90;194,989
Jun 1, 2022;1,831.00;1,875.60;1,801.00;1,804.10;1,804.10;7,851
Apr 1, 2022;1,935.00;1,997.10;1,872.90;1,909.30;1,909.30;7,725
Mar 1, 2022;1,908.30;2,072.00;1,893.50;1,949.20;1,949.20;157,864
Feb 1, 2022;1,797.20;1,972.50;1,787.90;1,899.40;1,899.40;9,51
Jan 1, 2022;1,830.10;1,852.70;1,778.80;1,795.00;1,795.00;232,014
Dec 1, 2021;1,774.80;1,827.80;1,753.90;1,827.50;1,827.50;10,803
Nov 1, 2021;1,787.50;1,869.70;1,761.80;1,773.60;1,773.60;221,936
Oct 1, 2021;1,754.30;1,809.00;1,744.70;1,783.00;1,783.00;8,208
Sep 1, 2021;1,813.50;1,833.90;1,721.40;1,755.30;1,755.30;28,543
Jul 1, 2021;1,775.70;1,833.00;1,768.80;1,812.60;1,812.60;245,814
Jun 1, 2021;1,905.10;1,916.20;1,752.10;1,770.80;1,770.80;8,466
May 1, 2021;1,788.50;1,905.40;1,774.80;1,902.50;1,902.50;210,133
Apr 1, 2021;1,706.80;1,794.50;1,706.40;1,767.30;1,767.30;11,366
Mar 1, 2021;1,737.10;1,750.30;1,673.70;1,713.80;1,713.80;167,914
Feb 1, 2021;1,866.60;1,871.90;1,718.80;1,728.10;1,728.10;16,813
Jan 1, 2021;1,912.20;1,959.90;1,802.00;1,847.30;1,847.30;225,93
Dec 1, 2020;1,775.00;1,908.00;1,774.90;1,893.10;1,893.10;12,142
Oct 1, 2020;1,884.10;1,929.10;1,858.80;1,877.40;1,877.40;9,613
Sep 1, 2020;1,961.70;1,986.30;1,851.50;1,887.50;1,887.50;17,781
Aug 1, 2020;1,984.30;2,063.00;1,871.60;1,967.60;1,967.60;11,71
Jul 1, 2020;1,793.60;1,981.10;1,765.80;1,962.80;1,962.80;246,967
Jun 1, 2020;1,740.40;1,793.20;1,668.60;1,793.00;1,793.00;16,436
May 1, 2020;1,686.60;1,770.50;1,670.50;1,736.90;1,736.90;168,568
Apr 1, 2020;1,570.00;1,775.00;1,570.00;1,684.20;1,684.20;14,324
Feb 1, 2020;1,592.90;1,686.60;1,547.70;1,564.10;1,564.10;9,617
Jan 1, 2020;1,518.10;1,604.20;1,518.00;1,582.90;1,582.90;316,262
Nov 1, 2019;1,511.00;1,511.60;1,447.10;1,465.60;1,465.60;443,701
Oct 1, 2019;1,468.70;1,518.20;1,458.30;1,511.40;1,511.40;5,233
Aug 1, 2019;1,411.30;1,549.30;1,400.90;1,519.10;1,519.10;17,142
Jul 1, 2019;1,386.60;1,444.20;1,382.80;1,426.10;1,426.10;302,051
Jun 1, 2019;1,307.00;1,433.30;1,307.00;1,409.70;1,409.70;6,517
May 1, 2019;1,278.70;1,306.40;1,266.60;1,305.80;1,305.80;248,448
Apr 1, 2019;1,291.80;1,309.10;1,266.00;1,282.80;1,282.80;6,961
Mar 1, 2019;1,312.20;1,322.90;1,281.00;1,293.00;1,293.00;295,7
Feb 1, 2019;1,320.30;1,344.00;1,301.60;1,312.80;1,312.80;7,989
Jan 1, 2019;1,286.00;1,325.40;1,275.30;1,319.70;1,319.70;270,998
Dec 1, 2018;1,222.50;1,281.30;1,221.30;1,278.30;1,278.30;4,402
Nov 1, 2018;1,215.40;1,236.00;1,196.30;1,220.20;1,220.20;304,805
Oct 1, 2018;1,191.60;1,238.60;1,183.70;1,212.30;1,212.30;4,126
Sep 1, 2018;1,193.80;1,206.20;1,180.00;1,191.50;1,191.50;23,406
Aug 1, 2018;1,222.90;1,223.70;1,161.40;1,200.30;1,200.30;5,996
Jun 1, 2018;1,298.60;1,307.70;1,244.80;1,251.30;1,251.30;5,166
May 1, 2018;1,313.20;1,320.80;1,285.20;1,300.10;1,300.10;441,893
Mar 1, 2018;1,310.40;1,354.40;1,301.80;1,322.80;1,322.80;356,297
Feb 1, 2018;1,343.80;1,361.40;1,307.00;1,315.50;1,315.50;10,243
Jan 1, 2018;1,302.30;1,362.40;1,302.30;1,339.00;1,339.00;338,322
Dec 1, 2017;1,274.10;1,306.30;1,236.50;1,306.30;1,306.30;7,596
Nov 1, 2017;1,272.20;1,296.20;1,265.30;1,273.20;1,273.20;326,214
Sep 1, 2017;1,320.20;1,355.80;1,277.00;1,281.50;1,281.50;26,808
Aug 1, 2017;1,268.40;1,323.80;1,251.40;1,316.20;1,316.20;10,098
Jul 1, 2017;1,236.00;1,270.80;1,208.60;1,266.60;1,266.60;292,633
Jun 1, 2017;1,268.00;1,295.20;1,238.10;1,240.70;1,240.70;8,948
May 1, 2017;1,268.70;1,273.20;1,214.00;1,272.00;1,272.00;404,733
Apr 1, 2017;1,247.50;1,294.80;1,243.00;1,266.10;1,266.10;9,065
Mar 1, 2017;1,247.80;1,257.70;1,196.20;1,247.30;1,247.30;251,026
Feb 1, 2017;1,211.90;1,263.10;1,197.90;1,252.60;1,252.60;11,087
Dec 1, 2016;1,172.70;1,186.70;1,123.90;1,150.00;1,150.00;9,972
Nov 1, 2016;1,279.30;1,318.60;1,167.90;1,170.80;1,170.80;242,622
Oct 1, 2016;1,313.50;1,316.80;1,248.90;1,271.50;1,271.50;5,775
Sep 1, 2016;1,305.30;1,350.50;1,301.50;1,313.30;1,313.30;18,63
Aug 1, 2016;1,348.80;1,366.00;1,306.30;1,306.90;1,306.90;11,854
Jul 1, 2016;1,324.50;1,374.90;1,312.80;1,349.00;1,349.00;281,653
Jun 1, 2016;1,215.70;1,355.60;1,205.40;1,318.40;1,318.40;13,38
Apr 1, 2016;1,232.30;1,295.50;1,209.20;1,289.20;1,289.20;9,954
Mar 1, 2016;1,240.50;1,280.70;1,210.00;1,234.20;1,234.20;244,751
Feb 1, 2016;1,116.70;1,260.80;1,115.30;1,233.90;1,233.90;13,93
Jan 1, 2016;1,063.40;1,125.70;1,063.20;1,116.40;1,116.40;229,558
Dec 1, 2015;1,064.60;1,098.80;1,046.20;1,060.30;1,060.30;10,149
Oct 1, 2015;1,115.20;1,189.00;1,105.80;1,141.50;1,141.50;4,321
Sep 1, 2015;1,133.50;1,155.90;1,098.20;1,115.50;1,115.50;9,119
Aug 1, 2015;1,095.50;1,169.00;1,080.50;1,131.60;1,131.60;13,251
Jul 1, 2015;1,173.10;1,173.10;1,078.60;1,094.90;1,094.90;216,892
Jun 1, 2015;1,190.60;1,204.00;1,164.00;1,171.50;1,171.50;6,252
May 1, 2015;1,178.10;1,228.10;1,170.00;1,189.40;1,189.40;258,123
Apr 1, 2015;1,182.90;1,224.20;1,174.60;1,182.40;1,182.40;7,838
Jan 1, 2015;1,184.00;1,303.50;1,169.50;1,278.50;1,278.50;258,615
Dec 1, 2014;1,160.00;1,238.00;1,141.70;1,183.90;1,183.90;11,14
Nov 1, 2014;1,166.40;1,202.40;1,133.00;1,175.20;1,175.20;299,41
Oct 1, 2014;1,207.70;1,251.00;1,161.40;1,171.10;1,171.10;4,51
Sep 1, 2014;1,284.50;1,286.40;1,204.00;1,210.50;1,210.50;27,705
Aug 1, 2014;1,284.10;1,321.40;1,272.00;1,285.80;1,285.80;9,633
Jul 1, 2014;1,326.70;1,343.70;1,280.60;1,281.30;1,281.30;224,607
May 1, 2014;1,288.70;1,314.20;1,241.80;1,245.60;1,245.60;211,143
Apr 1, 2014;1,285.10;1,330.00;1,272.40;1,295.60;1,295.60;8,265
Mar 1, 2014;1,335.90;1,391.40;1,282.40;1,283.40;1,283.40;255,794
Feb 1, 2014;1,242.40;1,343.90;1,241.20;1,321.40;1,321.40;11,943
Jan 1, 2014;1,204.30;1,269.40;1,204.30;1,240.10;1,240.10;189,701
Nov 1, 2013;1,325.70;1,325.70;1,229.00;1,250.60;1,250.60;270,667
Oct 1, 2013;1,328.00;1,359.70;1,254.10;1,323.60;1,323.60;2,723
Aug 1, 2013;1,323.00;1,428.00;1,274.00;1,396.10;1,396.10;10,507
Jul 1, 2013;1,234.70;1,343.50;1,208.90;1,312.40;1,312.40;186,17
Jun 1, 2013;1,389.10;1,422.70;1,183.20;1,223.80;1,223.80;12,739
May 1, 2013;1,475.80;1,487.10;1,342.90;1,392.60;1,392.60;222,108
Apr 1, 2013;1,596.80;1,602.60;1,323.00;1,472.20;1,472.20;14,648
Mar 1, 2013;1,579.60;1,613.80;1,561.80;1,594.80;1,594.80;223,847
Feb 1, 2013;1,663.90;1,683.40;1,555.20;1,577.70;1,577.70;11,784
Jan 1, 2013;1,672.80;1,694.70;1,625.70;1,660.60;1,660.60;197,723
Dec 1, 2012;1,714.90;1,722.30;1,635.80;1,674.80;1,674.80;7,061
Nov 1, 2012;1,722.30;1,751.30;1,674.10;1,710.90;1,710.90;345,777
Oct 1, 2012;1,766.00;1,794.80;1,698.60;1,717.50;1,717.50;2,741
Sep 1, 2012;1,689.10;1,785.30;1,687.70;1,771.10;1,771.10;25,557
Aug 1, 2012;1,613.40;1,690.00;1,583.10;1,684.60;1,684.60;11,783
Jun 1, 2012;1,560.00;1,639.70;1,545.50;1,603.50;1,603.50;11,162
May 1, 2012;1,665.00;1,670.50;1,528.50;1,562.60;1,562.60;345,507
Mar 1, 2012;1,698.60;1,724.60;1,633.80;1,669.30;1,669.30;254,54
Feb 1, 2012;1,738.20;1,790.40;1,669.00;1,709.90;1,709.90;9,587
Dec 1, 2011;1,747.00;1,762.90;1,525.00;1,565.80;1,565.80;11,311
Nov 1, 2011;1,706.70;1,798.40;1,674.40;1,745.50;1,745.50;257,009
Oct 1, 2011;1,627.80;1,752.00;1,596.60;1,724.20;1,724.20;2,715
Sep 1, 2011;1,825.80;1,911.60;1,562.40;1,620.40;1,620.40;31,848
Aug 1, 2011;1,623.00;1,909.30;1,607.00;1,828.50;1,828.50;25,647
Jul 1, 2011;1,502.20;1,634.90;1,480.00;1,628.30;1,628.30;309,932
Jun 1, 2011;1,535.70;1,558.50;1,490.70;1,502.30;1,502.30;15,027
Apr 1, 2011;1,433.40;1,568.70;1,413.00;1,556.00;1,556.00;15,801
Mar 1, 2011;1,415.30;1,446.90;1,385.50;1,438.90;1,438.90;194,338
Feb 1, 2011;1,333.10;1,415.70;1,324.90;1,409.30;1,409.30;14,468
Jan 1, 2011;1,415.60;1,423.90;1,307.70;1,333.80;1,333.80;299,379
Dec 1, 2010;1,386.80;1,431.10;1,362.50;1,421.10;1,421.10;16,511
Nov 1, 2010;1,360.30;1,423.20;1,327.50;1,385.00;1,385.00;245,327
Oct 1, 2010;1,309.00;1,383.90;1,309.00;1,357.10;1,357.10;3,19
Sep 1, 2010;1,246.30;1,315.20;1,240.00;1,307.80;1,307.80;33,2
Jul 1, 2010;1,206.30;1,242.40;1,158.00;1,181.70;1,181.70;267,525
Jun 1, 2010;1,224.80;1,264.80;1,196.90;1,245.50;1,245.50;16,703
May 1, 2010;1,178.60;1,246.50;1,159.20;1,212.20;1,212.20;361,661
Apr 1, 2010;1,125.10;1,181.30;1,111.30;1,180.10;1,180.10;10,917
Mar 1, 2010;1,119.30;1,145.00;1,085.50;1,113.30;1,113.30;222,583
Feb 1, 2010;1,081.00;1,127.40;1,045.20;1,118.30;1,118.30;18,209
Jan 1, 2010;1,117.70;1,161.20;1,073.20;1,083.00;1,083.00;320,664
Dec 1, 2009;1,181.00;1,226.40;1,075.00;1,095.20;1,095.20;24,177
Oct 1, 2009;1,007.40;1,070.20;986.80;1,039.70;1,039.70;3,699
Sep 1, 2009;954.20;1,019.80;948.70;1,008.00;1,008.00;15,642
Aug 1, 2009;952.60;971.10;931.50;951.70;951.70;7,492
Jul 1, 2009;929.30;958.10;905.60;953.70;953.70;177,42
Jun 1, 2009;978.80;990.30;917.30;927.10;927.10;12,773
May 1, 2009;884.00;980.40;881.50;978.80;978.80;234,559
Apr 1, 2009;918.60;932.50;865.00;890.70;890.70;17,3
Jan 1, 2009;881.50;930.30;805.60;927.30;927.30;215,42
Dec 1, 2008;817.20;883.60;740.00;883.60;883.60;9,599
Nov 1, 2008;728.80;824.00;707.00;816.20;816.20;377,779
Oct 1, 2008;878.00;925.70;681.00;716.80;716.80;3,365
Sep 1, 2008;829.90;919.00;739.00;874.20;874.20;18,8
Aug 1, 2008;904.90;916.10;780.90;829.30;829.30;9,253
Jul 1, 2008;943.60;986.20;893.30;913.90;913.90;250,61
May 1, 2008;855.00;925.60;849.60;887.30;887.30;221,797
Apr 1, 2008;915.00;948.70;863.00;862.80;862.80;13,006
Mar 1, 2008;984.20;1,014.60;912.00;916.20;916.20;216,432
Feb 1, 2008;924.80;973.10;884.70;972.10;972.10;8,233
Jan 1, 2008;848.70;936.30;846.40;922.70;922.70;231,851
Dec 1, 2007;783.90;843.20;777.00;834.90;834.90;7,681
Nov 1, 2007;785.30;841.30;777.60;782.20;782.20;239,351
Oct 1, 2007;745.10;795.40;724.30;792.00;792.00;2,72
Sep 1, 2007;672.50;745.70;672.50;742.80;742.80;27,393
Aug 1, 2007;663.20;676.20;642.90;673.00;673.00;8,547
Jun 1, 2007;661.50;674.00;640.00;648.10;648.10;4,027
May 1, 2007;673.70;688.00;651.00;661.00;661.00;158,741
Mar 1, 2007;673.00;673.00;640.00;663.00;663.00;52,996
Feb 1, 2007;652.90;687.70;642.00;669.40;669.40;3,981
Jan 1, 2007;635.20;655.50;607.00;652.00;652.00;101,525
Dec 1, 2006;645.70;649.70;612.00;635.20;635.20;3,823
Nov 1, 2006;612.50;648.00;612.50;646.90;646.90;114,115
Sep 1, 2006;624.40;638.50;576.40;598.60;598.60;17,592
Aug 1, 2006;635.40;656.00;609.00;625.90;625.90;4,608
Jul 1, 2006;631.00;677.00;612.70;634.20;634.20;99,344
Jun 1, 2006;642.80;645.10;555.00;613.50;613.50;6,197
May 1, 2006;658.00;723.00;637.00;642.50;642.50;137,161
Apr 1, 2006;582.00;651.80;582.00;651.80;651.80;8,121
Mar 1, 2006;562.50;589.60;539.90;581.80;581.80;94,801
Feb 1, 2006;570.80;575.30;535.50;561.60;561.60;10,165
Dec 1, 2005;494.20;538.50;490.10;517.10;517.10;12,24
Nov 1, 2005;463.00;502.30;455.30;494.60;494.60;157,642
Oct 1, 2005;467.80;478.50;460.50;465.10;465.10;2,106
Sep 1, 2005;438.50;474.00;438.50;469.00;469.00;11,805
Aug 1, 2005;430.00;449.50;429.10;433.80;433.80;3,085
Jul 1, 2005;427.80;430.50;419.60;429.90;429.90;44,574
Jun 1, 2005;416.40;442.50;414.00;435.90;435.90;6,95
Apr 1, 2005;428.30;438.20;422.70;435.00;435.00;2,579
