Date;Open;High;Low;Close;Adj Close;Volume
Dec 1. 2025;11.602;11.809;11.590;11.747;11.747;-
Nov 1. 2025;11.601;11.654;11.470;11.597;11.597;-
Oct 1. 2025;11.736;11.779;11.524;11.572;11.572;-
Sep 1. 2025;11.692;11.873;11.610;11.731;11.731;-
Aug 1. 2025;11.424;11.731;11.395;11.686;11.686;-
Jul 1. 2025;11.787;11.830;11.407;11.429;11.429;-
Jun 1. 2025;11.351;11.772;11.351;11.727;11.727;-
May 1. 2025;11.325;11.419;11.075;11.351;11.351;-
Apr 1. 2025;10.819;11.547;10.780;11.389;11.389;-
Mar 1. 2025;10.381;10.954;10.381;10.824;10.824;-
Feb 1. 2025;10.364;10.529;10.213;10.395;10.395;-
Jan 1. 2025;10.352;10.534;10.184;10.397;10.397;-
Dec 1. 2024;10.581;10.626;10.344;10.406;10.406;-
Nov 1. 2024;10.886;10.933;10.340;10.581;10.581;-
Oct 1. 2024;11.137;11.146;10.763;10.859;10.859;-
Sep 1. 2024;11.062;11.212;11.003;11.170;11.170;-
Aug 1. 2024;10.824;11.210;10.778;11.062;11.062;-
Jul 1. 2024;10.735;10.947;10.711;10.816;10.816;-
Jun 1. 2024;10.858;10.918;10.668;10.722;10.722;-
May 1. 2024;10.667;10.897;10.650;10.835;10.835;-
Apr 1. 2024;10.793;10.889;10.604;10.716;10.716;-
Mar 1. 2024;10.805;10.978;10.769;10.801;10.801;-
Feb 1. 2024;10.804;10.898;10.696;10.839;10.839;-
Jan 1. 2024;11.056;11.053;10.797;10.843;10.843;-
Dec 1. 2023;10.892;11.139;0.9191;11.056;11.056;-
Nov 1. 2023;10.579;11.017;10.523;10.974;10.974;-
Oct 1. 2023;10.588;10.690;10.450;10.615;10.615;-
Sep 1. 2023;10.844;10.881;10.492;10.588;10.588;-
Aug 1. 2023;10.998;11.058;10.767;10.933;10.933;-
Jul 1. 2023;10.918;11.276;10.834;11.024;11.024;-
Jun 1. 2023;10.695;11.011;10.664;10.868;10.868;-
May 1. 2023;11.011;11.212;10.652;10.733;10.733;-
Apr 1. 2023;10.872;11.128;10.789;11.128;11.128;-
Mar 1. 2023;10.577;10.929;10.520;10.905;10.905;-
Feb 1. 2023;10.861;11.027;10.534;10.611;10.611;-
Jan 1. 2023;10.728;10.933;10.485;10.851;10.851;-
Dec 1. 2022;10.425;10.728;10.398;10.728;10.728;-
Nov 1. 2022;0.9886;10.497;0.9731;10.324;10.324;-
Oct 1. 2022;0.9805;10.095;0.9636;0.9955;0.9955;-
Sep 1. 2022;10.039;10.197;0.954;0.983;0.983;-
Aug 1. 2022;10.208;10.369;0.9903;10.025;10.025;-
Jul 1. 2022;10.478;10.478;0.9954;10.227;10.227;-
Jun 1. 2022;10.734;10.770;10.383;10.447;10.447;-
May 1. 2022;10.546;10.785;10.352;10.774;10.774;-
Apr 1. 2022;11.072;11.075;10.473;10.546;10.546;-
Mar 1. 2022;11.215;11.232;10.809;11.162;11.162;-
Feb 1. 2022;11.229;11.494;11.110;11.181;11.181;-
Jan 1. 2022;11.375;11.484;11.123;11.152;11.152;-
Dec 1. 2021;11.330;11.379;11.231;11.325;11.325;-
Nov 1. 2021;11.559;11.617;11.188;11.293;11.293;-
Oct 1. 2021;11.574;11.693;11.530;11.561;11.561;-
Sep 1. 2021;11.812;11.908;11.570;11.602;11.602;-
Aug 1. 2021;11.868;11.902;11.665;11.797;11.797;-
Jul 1. 2021;11.855;11.911;11.754;11.868;11.868;-
Jun 1. 2021;12.234;12.254;11.846;11.902;11.902;-
May 1. 2021;12.021;12.267;11.987;12.190;12.190;-
Apr 1. 2021;11.729;12.152;11.715;12.127;12.127;-
Mar 1. 2021;12.091;12.110;11.705;11.724;11.724;-
Feb 1. 2021;12.123;12.242;11.954;12.074;12.074;-
Jan 1. 2021;12.173;12.350;12.055;12.139;12.139;-
Dec 1. 2020;11.938;12.310;11.936;12.300;12.300;-
Nov 1. 2020;11.679;12.002;11.608;11.971;11.971;-
Oct 1. 2020;11.724;11.882;11.643;11.677;11.677;-
Sep 1. 2020;11.939;12.011;11.613;11.742;11.742;-
Aug 1. 2020;11.780;11.965;11.701;11.918;11.918;-
Jul 1. 2020;11.234;11.908;11.189;11.872;11.872;-
Jun 1. 2020;11.115;11.400;11.101;11.247;11.247;-
May 1. 2020;10.945;11.145;10.768;11.110;11.110;-
Apr 1. 2020;11.028;11.038;10.728;10.877;10.877;-
Mar 1. 2020;11.028;11.496;10.655;11.030;11.030;-
Feb 1. 2020;11.096;11.096;10.780;11.030;11.030;-
Jan 1. 2020;11.221;11.228;10.993;11.029;11.029;-
Dec 1. 2019;11.019;11.241;11.004;11.202;11.202;-
Nov 1. 2019;11.156;11.194;10.983;11.020;11.020;-
Oct 1. 2019;10.899;11.181;10.882;11.154;11.154;-
Sep 1. 2019;11.012;11.158;10.888;10.943;10.943;-
Aug 1. 2019;11.072;11.313;10.987;11.012;11.012;-
Jul 1. 2019;11.364;11.368;11.104;11.158;11.158;-
Jun 1. 2019;11.200;11.414;11.162;11.391;11.391;-
May 1. 2019;11.218;11.263;11.110;11.131;11.131;-
Apr 1. 2019;11.223;11.325;11.122;11.185;11.185;-
Mar 1. 2019;11.373;11.440;11.186;11.233;11.233;-
Feb 1. 2019;11.451;11.488;11.235;11.380;11.380;-
Jan 1. 2019;11.494;11.571;11.306;11.488;11.488;-
Dec 1. 2018;11.319;11.485;11.271;11.440;11.440;-
Nov 1. 2018;11.314;11.500;11.223;11.393;11.393;-
Oct 1. 2018;11.605;11.621;11.312;11.346;11.346;-
Sep 1. 2018;11.623;11.815;11.528;11.623;11.623;-
Aug 1. 2018;11.690;11.733;11.302;11.665;11.665;-
Jul 1. 2018;11.705;11.791;11.576;11.707;11.707;-
Jun 1. 2018;11.693;11.842;11.514;11.705;11.705;-
May 1. 2018;12.083;12.085;11.514;11.667;11.667;-
Apr 1. 2018;12.332;12.415;12.056;12.123;12.123;-
Mar 1. 2018;12.191;12.478;12.158;12.332;12.332;-
Feb 1. 2018;12.417;12.558;12.189;12.230;12.230;-
Jan 1. 2018;12.005;12.530;11.918;12.410;12.410;-
Dec 1. 2017;11.899;12.023;11.719;12.000;12.000;-
Nov 1. 2017;11.652;11.960;11.556;11.852;11.852;-
Oct 1. 2017;11.742;11.881;11.576;11.653;11.653;-
Sep 1. 2017;11.911;12.093;11.719;11.742;11.742;-
Aug 1. 2017;11.824;12.067;11.667;11.893;11.893;-
Jul 1. 2017;11.426;11.825;11.315;11.747;11.747;-
Jun 1. 2017;11.238;11.445;11.121;11.442;11.442;-
May 1. 2017;10.906;11.267;10.840;11.172;11.172;-
Apr 1. 2017;10.657;10.951;10.570;10.908;10.908;-
Mar 1. 2017;10.569;10.905;10.500;10.687;10.687;-
Feb 1. 2017;10.803;10.827;10.497;10.584;10.584;-
Jan 1. 2017;10.520;10.810;10.348;10.709;10.709;-
Dec 1. 2016;10.592;10.857;10.355;10.520;10.520;-
Nov 1. 2016;10.973;11.302;10.523;10.648;10.648;-
Oct 1. 2016;11.243;11.250;10.853;10.985;10.985;-
Sep 1. 2016;11.158;11.330;11.126;11.220;11.220;-
Aug 1. 2016;11.168;11.357;11.049;11.153;11.153;-
Jul 1. 2016;11.104;11.196;10.954;11.168;11.168;-
Jun 1. 2016;11.136;11.422;10.919;11.128;11.128;-
May 1. 2016;11.448;11.614;11.100;11.148;11.148;-
Apr 1. 2016;11.379;11.464;11.220;11.448;11.448;-
Mar 1. 2016;10.887;11.410;10.826;11.335;11.335;-
Feb 1. 2016;10.826;11.368;10.826;10.924;10.924;-
Jan 1. 2016;10.859;10.982;10.712;10.826;10.826;-
Dec 1. 2015;10.573;11.070;10.542;10.934;10.934;-
Nov 1. 2015;11.025;11.060;10.564;10.583;10.583;-
Oct 1. 2015;11.172;11.494;10.910;11.009;11.009;-
Sep 1. 2015;11.226;11.460;11.090;11.256;11.256;-
Aug 1. 2015;10.969;11.706;10.850;11.214;11.214;-
Jul 1. 2015;11.135;11.220;10.813;10.939;10.939;-
Jun 1. 2015;10.959;11.428;10.889;11.223;11.223;-
May 1. 2015;11.215;11.453;10.822;10.960;10.960;-
Apr 1. 2015;10.741;11.248;10.522;11.114;11.114;-
Mar 1. 2015;11.198;11.240;10.460;10.830;10.830;-
Feb 1. 2015;11.288;11.484;11.177;11.198;11.198;-
Jan 1. 2015;12.099;12.099;11.106;11.288;11.288;-
Dec 1. 2014;12.438;12.566;12.105;12.162;12.162;-
Nov 1. 2014;12.527;12.576;12.362;12.438;12.438;-
Oct 1. 2014;12.629;12.844;12.491;12.613;12.613;-
Sep 1. 2014;13.128;13.161;12.574;12.691;12.691;-
Aug 1. 2014;13.390;13.446;13.128;13.135;13.135;-
Jul 1. 2014;13.692;13.698;13.369;13.396;13.396;-
Jun 1. 2014;13.635;13.697;13.507;13.644;13.644;-
May 1. 2014;13.869;13.991;13.589;13.635;13.635;-
Apr 1. 2014;13.775;13.906;13.676;13.814;13.814;-
Mar 1. 2014;13.804;13.965;13.709;13.752;13.752;-
Feb 1. 2014;13.490;13.823;13.479;13.707;13.707;-
Jan 1. 2014;13.745;13.779;13.481;13.559;13.559;-
Dec 1. 2013;13.594;13.884;13.526;13.810;13.810;-
Nov 1. 2013;13.580;13.622;13.306;13.594;13.594;-
Oct 1. 2013;13.525;13.830;13.476;13.724;13.724;-
Sep 1. 2013;13.224;13.570;13.106;13.495;13.495;-
Aug 1. 2013;13.301;13.450;13.179;13.224;13.224;-
